,base,large,cascade,base_lower,large_lower,cascade_lower,base_upper,large_upper,cascade_upper
200,76.74752473831177,90.24415063858032,44.752558544278145,73.9804825246334,88.22834203988313,40.42431429028511,79.6710921049118,92.47723657786847,50.580309480428696
400,222.84477508068085,263.5388209223747,127.12124861776829,218.5657063215971,259.4368543162942,119.76646824665367,227.64487330764533,268.1265215292573,136.25314113758503
600,353.9033018350601,416.03047412633896,208.422223046422,345.3839554235339,407.5857420966029,198.24295161999763,360.5009695112705,422.6752360790968,218.4839419234544
800,448.53668473660946,529.5913261175156,294.0072512179613,395.3706155162305,516.7610035896301,283.23992786034944,460.61867913194,540.5638577751815,306.76835430189965
1000,527.4777132123709,623.2735308110714,380.16326110064983,514.7506146535277,609.6812192484737,367.8308684911579,541.1150887813419,636.0837045118212,395.2508135739714
