,base,large,cascade,base_lower,large_lower,cascade_lower,base_upper,large_upper,cascade_upper
200,108.22818040847778,107.61780643463135,85.73035800457001,108.10426492094993,106.79096262753009,84.95340284258127,108.35292712748051,108.49824595153332,89.86305922418833
400,324.8441891670227,319.1844779253006,290.4817377924919,324.633116337657,317.83662864267825,287.00817890763284,325.03477531075475,320.9427747011185,293.76078394651415
600,541.0901975631714,529.7190936803818,495.32678586244583,540.8044920772314,527.8875254541636,491.71996126919987,541.3371844440699,531.4826072275639,498.6162011831999
800,757.2463222742081,739.6712396144867,699.9124391078949,648.9706389158964,737.7666873782873,696.2913537025452,757.5851380586624,741.5904360562563,703.1226192936301
1000,973.8589427471161,949.8383705615997,904.9063943624496,973.5122200101614,947.7148077517747,901.2831593215466,974.1928354114294,951.971128872037,908.183164024353
