,base,large,cascade,base_lower,large_lower,cascade_lower,base_upper,large_upper,cascade_upper
200,98.57685670256615,124.49611979722977,97.5445199161768,94.10463249385357,122.68144862502814,87.90085851587355,102.53423169329763,125.90106802880764,105.95290084090084
400,301.69963082671165,369.60459756851196,303.30447386950254,294.22140481546523,366.5666810527444,288.4391141558066,307.66208978444337,372.1692877262831,315.6000764625147
600,501.89453756809235,616.0439621210098,506.2395627051592,493.1544224947691,612.7478596493602,489.43730656895787,510.81125248223543,618.6871626123786,523.6075039200484
800,695.9422209262848,856.6797981262207,698.9473467692733,589.244009757787,852.4726074948907,675.9762144422159,705.745342733711,860.3328515723348,718.1478006739169
1000,881.7793636023998,1093.0065352916718,885.7667100653052,868.6979849405586,1087.1847305700182,861.5723067061975,894.4763767622411,1097.97092782557,907.9083339221776
