,base,large,cascade,base_lower,large_lower,cascade_lower,base_upper,large_upper,cascade_upper
200,87.9035575389862,104.81907457113266,74.38778686523438,86.96589857488871,103.5278612792492,73.1074749916792,88.50744076371193,105.86340006291866,75.62751774042844
400,249.99729937314987,297.7108077406883,204.6930245757103,246.15207386761904,292.9685533374548,201.83521974235774,252.38190449029207,301.59792204648255,207.44261582493783
600,380.01237231492996,457.66633808612823,321.7734252214432,373.4044023916125,450.1595678508282,318.5429769575596,386.3602595806122,464.78309718966483,325.535389213264
800,493.8061616420746,601.9144369363785,435.37977039813995,430.8550927132368,593.7344695553184,432.0574511617422,501.26793967187405,610.2351561293005,439.2764019355178
1000,605.9290390610695,744.0529144406319,548.7409556508064,599.0480866253376,735.8674114868045,545.3760048568249,613.3400773957371,752.8316261738539,552.5885225817561
